id,is_correct,internal_signal_score,semantic_entropy,se_normalized,is_normalized,hybrid_0.5_0.5
medquad_2530,True,0.17556342042923845,1.6473436774985657,0.7170650659648176,0.17446939911675272,0.44576723254078515
medquad_12062,False,0.9999837108338645,2.281892309481672,0.9932749806693021,0.9999838267499257,0.996629403709614
medquad_11828,False,0.9998854847863237,2.2669321720451094,0.9867630474981496,0.9998854703407518,0.9933242589194506
medquad_7021,True,0.002380418880009505,0.23969913280300734,0.10433759319493763,0.001056556100068495,0.05269707464750306
medquad_2352,False,0.9888311050218921,2.1386273843475574,0.9309138143899434,0.98881641965109,0.9598651170205167
medquad_8565,False,0.9177557171702094,2.2831065816503058,0.9938035359213688,0.9176467034225018,0.9557251196719353
medquad_10687,True,0.999968833219079,2.279963688950263,0.9924354798247208,0.9999689293901723,0.9962022046074466
medquad_2104,False,0.9989224410035881,1.744011854910887,0.7591433365526046,0.9989211484453016,0.8790322424989531
medquad_3051,False,0.9993979807322008,2.280412052905241,0.9926306462209891,0.9993973192909873,0.9960139827559882
medquad_11529,False,0.9999939337076277,2.291201980131934,0.9973273467238934,0.9999940631910731,0.9986607049574833
medquad_8694,True,0.015672813089661397,0.5017948413841777,0.21842409446966404,0.014366591437104776,0.11639534295338441
medquad_10089,False,0.9996644152452394,2.1425280886717104,0.9326117350131343,0.9996641074051238,0.966137921209129
medquad_1053,False,0.9999257744570673,1.9891498204539135,0.8658483756003806,0.9999258134823152,0.9328870945413479
medquad_7984,True,0.9833898359427242,2.127601661682392,0.9261144755159738,0.983367929139918,0.9547412023279459
medquad_4076,False,0.9967855363445163,2.1627975646303033,0.9414347470620777,0.9967814077728897,0.9691080774174837
medquad_10809,False,0.9997526595090215,1.672411787600566,0.7279768546033603,0.9997524687831196,0.8638646616932399
medquad_7473,False,0.9991508458307893,2.2559250231339556,0.9819717935127965,0.9991498564021413,0.9905608249574689
medquad_5676,True,0.04623301449240025,0.554045259791183,0.24116795188902224,0.04496735110175906,0.14306765149539064
medquad_12268,False,0.9999077013837363,2.2790485433868524,0.9920371300919006,0.9999077164231329,0.9959724232575168
medquad_13477,True,0.016660541826904574,2.220446049250313e-16,0.0,0.015355631047934764,0.007677815523967382
medquad_8171,False,0.9999744197699822,2.2915357155610536,0.9974726169675987,0.9999745233553197,0.9987235701614592
medquad_13973,False,0.9989507398895159,2.1065096955184117,0.9169334452820959,0.9989494848883649,0.9579414650852304
medquad_5061,True,0.02531446923458658,0.5524860010756398,0.24048922894311273,0.024021043597673666,0.1322551362703932
medquad_11212,False,0.9955785699488221,2.262074565302249,0.9846486009821745,0.9955728395402654,0.99011072026122
medquad_13924,False,0.9999322329004822,2.2831798337941196,0.9938354215285152,0.9999322804971145,0.9968838510128148
medquad_1573,False,0.9998483280811533,2.276009409825586,0.9907142388595778,0.9998482643227069,0.9952812515911423
medquad_12154,False,0.9999900863545333,2.2849089823442155,0.9945880950817475,0.9999902107319274,0.9972891529068375
medquad_6646,True,0.07242367443449316,0.9388504580808913,0.40866813334126484,0.0711927702272641,0.23993045178426448
medquad_9832,False,0.9999696044934107,2.1217849949557768,0.9235825639501074,0.999969701688108,0.9617761328191077
medquad_10297,False,0.9999896206899201,2.0309673841398723,0.8840509610551005,0.9999897444493031,0.9420203527522018
medquad_11023,False,0.9950636492325454,1.745528600209844,0.7598035540182763,0.9950572354420633,0.8774303947301698
medquad_1115,False,0.9999996741178414,2.273917401654255,0.9898036177196999,0.9999998112197268,0.9949017144697134
medquad_9855,False,0.9995017396595605,2.0522310604558656,0.893306734254373,0.9995012159229943,0.9464039750886837
medquad_2263,False,0.9988359085703502,2.2812068873681506,0.9929766262580404,0.9988345011697219,0.9959055637138812
medquad_6300,False,0.9518257844524763,2.2538835331354807,0.9810831622087047,0.9517619871185645,0.9664225746636346
medquad_535,False,0.9999893638742344,2.2717464949574553,0.9888586531837581,0.9999894872927819,0.9944240702382701
medquad_11056,False,0.9999878060357552,2.2849602200008836,0.9946103980985135,0.9999879273868026,0.9972991627426581
